Word,tfidf
پسره,0.0
واسه,0.0
دوست,0.0
دخترش,0.0
با,0.0
گیتار,0.00013896282332820332
آواز,0.0
خونده,0.0
که,0.0
آشتی,0.0
کنه,0.0
…بعد,2.7792564665640662e-05
من,0.0
تابحال,1.0257408690029203e-05
جلو,0.0
زیدم,4.1688846998461e-05
نزدم،,0.0
البته,0.0
زدن,0.0
بلد,0.0
نیستم,0.0
…بماند,1.3896282332820331e-05
دختر,0.0
هم,0.0
ندارم,0.0
«,0.0
ای,0.0
خوشا,2.7792564665640662e-05
روزی,0.0
معشوق,1.0257408690029203e-05
دنگی,1.3896282332820331e-05
دونگی,1.3896282332820331e-05
حساب,0.0
کنیم,0.0
»,0.0
به,0.0
ماشینم,0.0
تکیه,0.0
داده,0.0
بود,0.0
خواستم,0.0
حالشو,0.0
بگیرم,0.0
گفتم,0.0
ماشین,0.0
خودته؟,5.128704345014602e-06
گفت,0.0
نه,0.0
کی,0.0
دیگه,0.0
از,0.0
این,0.0
لگنا,1.3896282332820331e-05
سوار,0.0
میشه؟,0.0
آره,0.0
بابا,0.0
و,0.0
پیاده,0.0
اومدم,0.0
خونه,0.0
:,0.0
(,0.0
‏وقتی,0.0
تو,0.0
جاده,0.0
های,0.0
شمال،,0.0
تتلو,0.0
وعلیشمس,1.3896282332820331e-05
گوش,0.0
میدید,0.0
ما,0.0
درک،,1.3896282332820331e-05
هایده,0.0
مهستی,0.0
خجالت,0.0
بکشید,0.0
.,0.0
ولی,0.0
یروز,0.0
بالاخره,0.0
معلوم,0.0
میشه,0.0
هفتاد,0.0
درصد,0.0
بدن,0.0
منو,0.0
بجا,0.0
آب،,0.0
چایی,0.0
تشکیل,0.0
^,2.7792564665640662e-05
‏باید,0.0
یه,0.0
کلاس,0.0
اینایی,0.0
میرن,0.0
بذارن,0.0
شما,0.0
فقط,0.0
رو,0.0
قراره,0.0
یاد,0.0
بگیرید,0.0
خوانندگی,0.0
جزو,0.0
برنامه,0.0
ها,0.0
نیست,0.0
نخونید,5.128704345014602e-06
‏ريميكس,1.3896282332820331e-05
ينى,5.128704345014602e-06
ريدن,1.0257408690029203e-05
اهنگ,0.0
روش,0.0
هاى,0.0
مدرن,1.0257408690029203e-05
وقتی,0.0
مُردم,5.128704345014602e-06
واسم,0.0
مجلس,0.0
ترحیمم,1.3896282332820331e-05
روضه,0.0
خون,0.0
نیارین,1.3896282332820331e-05
هادی,0.0
عاملو,1.3896282332820331e-05
بیارین,0.0
پشت,0.0
میکروفون,0.0
بگه,0.0
تمام,0.0
آهنگ,0.0
تیکه,0.0
کردی,0.0
دل,0.0
یادته؟,1.3896282332820331e-05
همون,0.0
آرش,2.564352172507301e-05
😏,0.0
خیلی,0.0
باهاش,0.0
حال,0.0
اون,0.0
موقع؟,1.3896282332820331e-05
امروز,0.0
۱۲,0.0
سال,0.0
انتشار,0.0
می‌گذره,1.0257408690029203e-05
!,0.0
اساتیدی,5.128704345014602e-06
کلاسا,0.0
۲٠,1.3896282332820331e-05
اسفند,0.0
تعطیل,0.0
میکنن,0.0
میگن,0.0
مدرسان,1.3896282332820331e-05
شریف,0.0
آدم,0.0
عاشق‌پیشه‌ای,1.3896282332820331e-05
بودم,0.0
تا,0.0
اینستا,0.0
پیداش,0.0
کردم,0.0
دیدم,0.0
کپشن,0.0
زده,0.0
نباشی,0.0
دوستام,0.0
هستن,0.0
پس,0.0
رفتم,0.0
دنبال,0.0
رفیق,0.0
جای,0.0
عشق,0.0
مكالمه,2.7792564665640662e-05
تصويرى,1.3896282332820331e-05
دوتا,0.0
فسقلى,1.3896282332820331e-05
بى,0.0
زبون,0.0
😂,0.0
اتیکت,1.3896282332820331e-05
پرواز,0.0
ر,0.0
روی,0.0
چمدونشون,1.3896282332820331e-05
نمیکنن,0.0
اونایی,0.0
برچسب,1.5386113035043807e-05
ال,0.0
سی,0.0
دیشون,1.3896282332820331e-05
بدترن,5.128704345014602e-06
همه,0.0
ايراني,2.0514817380058407e-05
ميشينن,1.3896282332820331e-05
ي,0.0
غذاي,5.128704345014602e-06
خفن,0.0
درست,0.0
ميكنن,0.0
بعد,0.0
ميگن,0.0
ميدوني,0.0
اينو,0.0
بيرون,0.0
ميخورديم,0.0
چقدر,0.0
قيمتش,5.128704345014602e-06
ميشد؟بعدش,1.3896282332820331e-05
نبوغ,1.3896282332820331e-05
اقتصادي,5.128704345014602e-06
خودشون,0.0
ذوق,0.0
باگ,0.0
زندگی,0.0
همین,0.0
بس,0.0
گذر,0.0
ایام,0.0
پیرت,1.3896282332820331e-05
نمیکنه,0.0
...,0.0
استرس,0.0
فشار,0.0
زندگیه,2.564352172507301e-05
نابودت,1.3896282332820331e-05
میکنه,0.0
اختراع,0.0
لباسشویی,1.0257408690029203e-05
باید,0.0
رخت,5.128704345014602e-06
پهن,0.0
کن,0.0
برقی,2.0514817380058407e-05
کنن,0.0
کارشناسا,1.3896282332820331e-05
گفتن,0.0
تهران,0.0
هرروز,0.0
میلیمتر,1.0257408690029203e-05
نشست,0.0
اگه,0.0
طبقه,0.0
هفتم,0.0
کنم,0.0
۵۰سال,1.3896282332820331e-05
میریم,0.0
همکف،,1.3896282332820331e-05
خب,0.0
سن,0.0
زانوهام,1.3896282332820331e-05
بهتره,0.0
امان,2.0514817380058407e-05
دلِ,1.0257408690029203e-05
سیمین,1.0257408690029203e-05
بهبهانی،,2.7792564665640662e-05
چه,0.0
حالی,0.0
شعرو,2.7792564665640662e-05
نوشته؛,2.7792564665640662e-05
‏اونيكه,1.3896282332820331e-05
گفته,0.0
انسان,0.0
در,0.0
دوران,0.0
پيرى,1.3896282332820331e-05
مبتلا,0.0
آلزايمر,1.3896282332820331e-05
ميشن,0.0
حتمن,2.0514817380058407e-05
جوون,0.0
نسل,0.0
حاضر,0.0
نديد,1.3896282332820331e-05
كه,0.0
سادگى,1.3896282332820331e-05
همو,0.0
فراموش,0.0
‏ما,0.0
زیدمون,2.7792564665640662e-05
چشاش,0.0
مشگی,1.3896282332820331e-05
آهنگا,0.0
درباره,0.0
چشه,1.5386113035043807e-05
رنگی,0.0
چش,0.0
گیرمون,5.128704345014602e-06
اومد,0.0
شد,0.0
راجع,0.0
مشگیا,1.3896282332820331e-05
‏جای,1.0257408690029203e-05
خالی,0.0
بعضیا,0.0
انقد,0.0
بزرگه,0.0
داخلش,0.0
کرد,0.0
بیشتر,0.0
سنتون,1.0257408690029203e-05
بفهمین،,1.3896282332820331e-05
اما,0.0
جلوتر,0.0
نکنید,0.0
روز,0.0
حسرت,0.0
کودکی،,1.3896282332820331e-05
نوجوانی,1.0257408690029203e-05
جوانیِ,1.3896282332820331e-05
زندگی‌نکرده‌تون,1.3896282332820331e-05
می‌خورید,0.0
‏دختر,0.0
احمق,0.0
دوس,0.0
دارن,0.0
چون,0.0
ميخوان,1.5386113035043807e-05
ازش,0.0
سوءاستفاده,5.128704345014602e-06
كنن,0.0
‏تو,0.0
پاساژ,0.0
دختره,0.0
لهجه,0.0
ی,0.0
انگلیسی,0.0
صدا,0.0
mother،,2.7792564665640662e-05
mother,1.0257408690029203e-05
برگشتم,0.0
ننه,0.0
اشو,1.0257408690029203e-05
ببینم،که,2.7792564665640662e-05
یهو,0.0
یک,0.0
سبیل,2.564352172507301e-05
رفت,0.0
دستشو,0.0
گرفت,0.0
حالا,0.0
نگو,0.0
میگفته,3.0772226070087614e-05
``,0.0
نادر,0.0
'',0.0
راننده,0.0
نيسان,1.3896282332820331e-05
ابي,4.1688846998461e-05
چراغ,0.0
قرمز,0.0
😃,2.7792564665640662e-05
‏متاسفانه,0.0
فرهنگ,0.0
کشور,0.0
مقابل,0.0
تهاجم,1.3896282332820331e-05
فرهنگی,0.0
مقاومت,0.0
پایینی,0.0
داره،,0.0
نود,0.0
قسمت,0.0
شب,0.0
برره,1.0257408690029203e-05
پخش,0.0
دو,0.0
زبان,0.0
رسمی,0.0
ممکلتو,1.3896282332820331e-05
تغییر,0.0
داد,0.0
+رزومه,1.3896282332820331e-05
ات,0.0
چیه؟,0.0
‏یکی,0.0
بزرگترین,0.0
مشکلات,0.0
رابطه,0.0
اینه‌که،,2.7792564665640662e-05
10درصد,1.3896282332820331e-05
چیزی,0.0
طرفمون,1.3896282332820331e-05
توقع,0.0
داریم,0.0
رو،,1.5386113035043807e-05
خودمون,0.0
انجام,0.0
نمیدیم,0.0
‏همسایه‌ها,1.3896282332820331e-05
پول,0.0
جمع,0.0
کردن,0.0
پمپ,0.0
خریدن,0.0
برای,0.0
آب,0.0
تاثیر,0.0
نداره,0.0
بابا،,0.0
شیر,0.0
باز,0.0
می‌کنی,0.0
انگار,0.0
سد,4.1688846998461e-05
شکسته,0.0
‏یه,0.0
راه,0.0
حل,0.0
پیدا,0.0
مقابله,0.0
تازه,0.0
عروس,0.0
دامادا,1.3896282332820331e-05
بشقاب,0.0
غذا,0.0
میخورن,0.0
آینه,0.0
بزرگ,0.0
جلوشون,0.0
خودشونو,0.0
میبینن,0.0
شرمنده,0.0
میشن,0.0
هیچوقت,0.0
سر,0.0
نیسان,0.0
آبی,0.0
پارک,0.0
درگیر,0.0
تکونی,0.0
هستیم,0.0
وضعیت,0.0
کادو,0.0
ولنتاین,0.0
بی,0.0
معنیه,1.3896282332820331e-05
میدونم,0.0
گذشته,0.0
الان,0.0
استارت,0.0
زدم,0.0
بعدم,0.0
ندم,0.0
‏اگه,0.0
خواستید,0.0
ازمن,5.128704345014602e-06
اعتراف,0.0
کافیه,0.0
دستامو,0.0
ببندید,0.0
بریون,2.7792564665640662e-05
بذارید,0.0
جلوم,2.0514817380058407e-05
نارنجم,1.3896282332820331e-05
بغلش,0.0
باشه,0.0
